Cliente_ID,Edad,Genero,Saldo,Activo,Nivel_de_Satisfaccion
1,24,desconocido,72700,Si,4
2,52,Femenino,15085,Si,2
3,44,Femenino,44787,No,5
4,27,desconocido,94586,No,2
5,56,Masculino,81709,No,5
6,56,Masculino,71632,No,3
7,51,Femenino,72154,Si,3
8,50,Masculino,26273,No,2
9,71,Femenino,97449,Si,3
10,75,Femenino,27870,No,4
11,31,Masculino,1707,Si,1
12,49,Masculino,0,Si,2
13,42,Masculino,88075,Si,1
14,49,Masculino,31729,Si,2
15,40,Masculino,15485,No,5
16,77,Femenino,71186,Si,4
17,79,Femenino,92472,Si,3
18,77,Masculino,99908,Si,4
19,28,desconocido,0,No,2
20,73,Masculino,74289,Si,4
21,25,Femenino,88999,No,2
22,49,Masculino,55491,No,2
23,54,Masculino,84469,No,3
24,49,Femenino,6975,No,5
25,34,Femenino,82432,Si,3
26,21,Masculino,15687,No,5
27,20,Masculino,98058,No,4
28,42,Femenino,44455,No,4
29,35,Masculino,32650,Si,3
30,26,Femenino,86694,Si,2
31,72,Masculino,93619,Si,5
32,32,desconocido,92280,No,2
33,62,Masculino,0,Si,1
34,23,desconocido,52575,No,4
35,34,Masculino,58987,Si,1
36,61,Femenino,98990,Si,3
37,50,Femenino,19014,Si,3
38,59,Femenino,17206,No,3
39,49,Femenino,40418,Si,5
40,49,Femenino,9480,No,2
41,49,Masculino,66988,Si,3
42,49,Masculino,28034,No,3
43,73,Masculino,8985,No,1
44,49,Masculino,49371,No,4
45,61,Femenino,57954,Si,3
46,32,Masculino,23966,No,2
47,38,Femenino,48298,Si,1
48,73,Femenino,30304,Si,2
49,49,Masculino,17492,No,4
50,66,Femenino,43285,No,3
51,54,Masculino,48540,No,2
52,76,desconocido,14262,Si,2
53,20,Masculino,14705,No,4
54,35,Femenino,20927,Si,5
55,18,Masculino,88247,No,3
56,57,Masculino,50220,No,1
57,58,Masculino,40347,No,4
58,49,Femenino,73338,Si,1
59,72,Femenino,59080,Si,2
60,35,Masculino,26269,Si,5
61,46,Masculino,65801,Si,1
62,74,Masculino,90969,Si,3
63,51,Femenino,86440,Si,1
64,49,Masculino,67515,No,3
65,38,Femenino,86883,No,3
66,73,Masculino,20793,Si,5
67,48,Femenino,30659,No,3
68,79,Femenino,97219,No,1
69,65,Masculino,54090,No,2
70,49,Femenino,7617,No,3
71,67,Masculino,1257,No,5
72,60,Masculino,66552,Si,4
73,30,desconocido,73110,No,1
74,41,desconocido,0,Si,5
75,49,Masculino,0,No,3
76,45,Femenino,83660,No,3
77,18,Masculino,32667,No,1
78,72,Masculino,28530,No,2
79,26,Femenino,8643,Si,2
80,71,Femenino,0,Si,1
81,71,desconocido,99111,No,5
82,49,Femenino,93512,No,1
83,56,Femenino,13804,No,3
84,19,Masculino,94557,No,2
85,40,Masculino,67251,No,5
86,22,Masculino,64785,No,3
87,76,Masculino,30912,Si,3
88,75,Masculino,93388,No,1
89,72,Masculino,0,Si,4
90,49,desconocido,12236,Si,2
91,49,Masculino,30930,No,4
92,49,Femenino,91122,Si,5
93,61,Masculino,62434,Si,3
94,74,Masculino,40250,No,3
95,40,Femenino,79817,Si,2
96,55,Femenino,99242,No,5
97,50,Masculino,70651,No,3
98,72,Femenino,51393,Si,3
99,19,Masculino,0,No,3
100,61,desconocido,12490,No,3
101,27,Masculino,5961,No,2
102,79,Masculino,77719,No,1
103,52,Femenino,95460,Si,2
104,70,Masculino,27155,No,1
105,60,Femenino,86618,No,3
106,66,Masculino,69091,No,1
107,40,Femenino,69808,No,4
108,57,Femenino,80300,No,4
109,49,desconocido,26757,No,3
110,33,Masculino,7474,Si,4
111,25,Masculino,97078,No,5
112,31,Masculino,35107,Si,2
113,51,Masculino,97420,Si,1
114,58,Femenino,21474,Si,2
115,69,Masculino,69461,No,5
116,67,Masculino,36599,Si,2
117,74,Femenino,49709,No,1
118,49,Masculino,94024,No,1
119,79,Masculino,23007,Si,1
120,40,Femenino,99673,Si,3
121,19,Femenino,57433,No,3
122,25,Masculino,0,Si,5
123,58,Masculino,96192,No,3
124,40,Masculino,95867,No,4
125,19,Masculino,71465,Si,5
126,54,desconocido,0,No,5
127,49,Masculino,33907,No,1
128,41,Masculino,6921,Si,5
129,25,Masculino,27860,Si,2
130,21,Masculino,65876,No,5
131,22,Masculino,72973,Si,3
132,66,Femenino,59343,Si,2
133,33,Masculino,33789,Si,1
134,59,desconocido,0,No,3
135,71,Femenino,12028,Si,3
136,50,Femenino,29633,Si,4
137,63,Femenino,86593,Si,3
138,72,Femenino,0,No,1
139,61,Masculino,77725,No,1
140,27,Femenino,75883,No,3
141,74,Femenino,57053,No,5
142,24,Masculino,0,No,2
143,73,Masculino,3515,No,1
144,57,Femenino,37197,No,4
145,77,Masculino,25188,No,5
146,34,Femenino,39967,No,3
147,48,Masculino,79882,No,5
148,55,Femenino,43297,No,4
149,31,desconocido,5390,No,1
150,47,Femenino,50823,No,5
