Cliente_ID,Edad,Genero,Saldo,Activo,Nivel_de_Satisfaccion
3,44,Femenino,44787,No,5
4,27,desconocido,94586,No,2
5,56,Masculino,81709,No,5
6,56,Masculino,71632,No,3
8,50,Masculino,26273,No,2
10,75,Femenino,27870,No,4
15,40,Masculino,15485,No,5
19,28,desconocido,0,No,2
21,25,Femenino,88999,No,2
22,49,Masculino,55491,No,2
23,54,Masculino,84469,No,3
24,49,Femenino,6975,No,5
26,21,Masculino,15687,No,5
27,20,Masculino,98058,No,4
28,42,Femenino,44455,No,4
32,32,desconocido,92280,No,2
34,23,desconocido,52575,No,4
38,59,Femenino,17206,No,3
40,49,Femenino,9480,No,2
42,49,Masculino,28034,No,3
43,73,Masculino,8985,No,1
44,49,Masculino,49371,No,4
46,32,Masculino,23966,No,2
49,49,Masculino,17492,No,4
50,66,Femenino,43285,No,3
51,54,Masculino,48540,No,2
53,20,Masculino,14705,No,4
55,18,Masculino,88247,No,3
56,57,Masculino,50220,No,1
57,58,Masculino,40347,No,4
64,49,Masculino,67515,No,3
65,38,Femenino,86883,No,3
67,48,Femenino,30659,No,3
68,79,Femenino,97219,No,1
69,65,Masculino,54090,No,2
70,49,Femenino,7617,No,3
71,67,Masculino,1257,No,5
73,30,desconocido,73110,No,1
75,49,Masculino,0,No,3
76,45,Femenino,83660,No,3
77,18,Masculino,32667,No,1
78,72,Masculino,28530,No,2
81,71,desconocido,99111,No,5
82,49,Femenino,93512,No,1
83,56,Femenino,13804,No,3
84,19,Masculino,94557,No,2
85,40,Masculino,67251,No,5
86,22,Masculino,64785,No,3
88,75,Masculino,93388,No,1
91,49,Masculino,30930,No,4
94,74,Masculino,40250,No,3
96,55,Femenino,99242,No,5
97,50,Masculino,70651,No,3
99,19,Masculino,0,No,3
100,61,desconocido,12490,No,3
101,27,Masculino,5961,No,2
102,79,Masculino,77719,No,1
104,70,Masculino,27155,No,1
105,60,Femenino,86618,No,3
106,66,Masculino,69091,No,1
107,40,Femenino,69808,No,4
108,57,Femenino,80300,No,4
109,49,desconocido,26757,No,3
111,25,Masculino,97078,No,5
115,69,Masculino,69461,No,5
117,74,Femenino,49709,No,1
118,49,Masculino,94024,No,1
121,19,Femenino,57433,No,3
123,58,Masculino,96192,No,3
124,40,Masculino,95867,No,4
126,54,desconocido,0,No,5
127,49,Masculino,33907,No,1
130,21,Masculino,65876,No,5
134,59,desconocido,0,No,3
138,72,Femenino,0,No,1
139,61,Masculino,77725,No,1
140,27,Femenino,75883,No,3
141,74,Femenino,57053,No,5
142,24,Masculino,0,No,2
143,73,Masculino,3515,No,1
144,57,Femenino,37197,No,4
145,77,Masculino,25188,No,5
146,34,Femenino,39967,No,3
147,48,Masculino,79882,No,5
148,55,Femenino,43297,No,4
149,31,desconocido,5390,No,1
150,47,Femenino,50823,No,5
152,54,Femenino,49661,No,1
154,62,Femenino,97407,No,2
156,72,Femenino,66680,No,3
159,76,Femenino,93570,No,1
161,55,Masculino,69036,No,3
162,52,Femenino,13023,No,4
165,26,Masculino,19639,No,3
167,32,Femenino,48802,No,2
168,60,Masculino,86682,No,2
169,34,Masculino,33329,No,4
170,68,Femenino,47592,No,2
171,49,Femenino,0,No,3
173,19,Femenino,36885,No,1
174,49,Femenino,13339,No,3
179,32,Masculino,33535,No,4
183,18,Femenino,64107,No,2
184,39,Masculino,26317,No,3
185,50,Masculino,6183,No,1
186,36,desconocido,38604,No,3
187,33,Femenino,37306,No,3
